rank	hub_species	module	hub_score	hgnc_symbol	drug	approved	interaction_types	sources	score	ssc_context
18	SMAD3_p__cyto	M2	3.3530	SMAD3	CHEMBL:CHEMBL601311	no		DTC	0.2279641858466617	
18	SMAD3_p__cyto	M2	3.3530	SMAD3	QUINOXALINE	no		DTC	0.2279641858466617	
18	SMAD3_p__cyto	M2	3.3530	SMAD3	CHEMBL:CHEMBL530281	no		DTC	0.2279641858466617	
18	SMAD3_p__cyto	M2	3.3530	SMAD3	CHEMBL:CHEMBL547161	no		DTC	0.2279641858466617	
18	SMAD3_p__cyto	M2	3.3530	SMAD3	(S,R)-MEFLOQUINE	no		DTC	0.2279641858466617	
19	YAP1_TAZ_active__nuc	M2	3.2274	YAP1	ETOPOSIDE	yes		PharmGKB	1.800130984789156	
19	YAP1_TAZ_active__nuc	M2	3.2274	TAZ						
20	NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	M3	3.0028	NOTCH1	BRONTICTUZUMAB	no	inhibitor	CGI;TTD;ChEMBL	19.57642445958207	
20	NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	M3	3.0028	NOTCH1	RO4929097	no	other/unknown;inhibitor	CGI;MyCancerGenome;CancerCommons	3.915284891916414	
20	NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	M3	3.0028	NOTCH1	CRENIGACESTAT	no		TTD	2.175158273286897	
20	NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	M3	3.0028	NOTCH1	NIROGACESTAT	yes	other/unknown	CGI;MyCancerGenome;CIViC	1.398316032827291	
20	NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	M3	3.0028	NOTCH1	MK-0752	no		CGI	1.305094963972138	
ssc_target	target__IL6R	-	-	IL6R	SARILUMAB	yes	antibody;inhibitor	TTD;ChEMBL;GuideToPharmacology	12.04703043666589	anti-IL6R (sarilumab) — exploratory
ssc_target	target__IL6R	-	-	IL6R	TOCILIZUMAB	yes	inhibitor;immunotherapy	TEND;TTD;MyCancerGenome;TdgClinicalTrial;ChEMBL	4.015676812221964	anti-IL6R (tocilizumab) — focuSSced trial (Khanna 2016, +FVC)
ssc_target	target__IFNAR1	-	-	IFNAR1	ANIFROLUMAB	yes	inhibitor	PharmGKB;ChEMBL	2.900211031049196	anti-IFNAR1 (anifrolumab) — SLE-approved, SSc trial rationale
ssc_target	target__IFNAR2	-	-	IFNAR2	ANIFROLUMAB	yes		TTD	1.631368704965172	anti-IFNAR1 (anifrolumab) — SLE-approved, SSc trial rationale
ssc_target	target__IL4R	-	-	IL4R	DUPILUMAB	yes	inhibitor	TTD;ChEMBL	8.700633093147589	anti-IL4Ra — Th2 axis repurposing
ssc_target	target__IL4R	-	-	IL4R	ROMILKIMAB	no		TTD	2.900211031049196	anti-IL13 — SSc skin trial
ssc_target	target__EDNRA	-	-	EDNRA	AMBRISENTAN	yes	inhibitor	TEND;TTD;TdgClinicalTrial;ChEMBL	1.815784297700366	endothelin antagonist — PAH
ssc_target	target__EDNRA	-	-	EDNRA	MACITENTAN	yes	inhibitor	TTD;TdgClinicalTrial;ChEMBL	1.702297779094093	endothelin antagonist — PAH
ssc_target	target__EDNRB	-	-	EDNRB	MACITENTAN	yes	inhibitor	TTD;TdgClinicalTrial;ChEMBL	2.796632065654582	endothelin antagonist — PAH
ssc_target	target__EDNRB	-	-	EDNRB	AMBRISENTAN	yes	inhibitor	TEND;TdgClinicalTrial;ChEMBL	2.237305652523665	endothelin antagonist — PAH
ssc_target	target__MS4A1	-	-	MS4A1	RITUXIMAB	yes	antibody;binder	TEND;TTD;MyCancerGenome;TdgClinicalTrial;PharmGKB;ChEMBL;FDA	0.7808260468209374	anti-CD20 (rituximab) — RECITAL trial in SSc-ILD
ssc_target	target__CD19	-	-	CD19	INEBILIZUMAB	yes	binder	TTD;ChEMBL	1.305094963972138	anti-CD19 — exploratory
ssc_target	target__PDE5A	-	-	PDE5A	SILDENAFIL	yes	inhibitor	TEND;TdgClinicalTrial;ChEMBL;GuideToPharmacology	0.5932249836236992	PDE5 inhibitor — Raynaud / digital ulcers
ssc_target	target__PDE5A	-	-	PDE5A	TADALAFIL	yes	inhibitor	TEND;TTD;TdgClinicalTrial;ChEMBL;GuideToPharmacology	2.039210881206466	PDE5 inhibitor — Raynaud
ssc_target	target__NOS3	-	-	NOS3	SILDENAFIL	yes		PharmGKB	0.3389857049278281	PDE5 inhibitor — Raynaud / digital ulcers
ssc_target	target__GUCY1A1	-	-	GUCY1A1	RIOCIGUAT	yes	positive modulator	TdgClinicalTrial;ChEMBL	1.392101294903614	sGC stimulator — RISE-SSc PAH
ssc_target	target__BTK	-	-	BTK	IBRUTINIB	yes	inhibitor	CGI;TTD;MyCancerGenome;CIViC;DoCM;TdgClinicalTrial;PharmGKB;DTC;ChEMBL;COSMIC	0.3838514599918053	BTK inhibitor — B-cell axis repurposing
ssc_target	target__TYK2	-	-	TYK2	RUXOLITINIB	yes	inhibitor	GuideToPharmacology	0.04869757328254247	JAK1/2 — SSc repurposing
ssc_target	target__TYK2	-	-	TYK2	BARICITINIB	yes	inhibitor	GuideToPharmacology	0.07083283386551632	JAK1/2 — SSc repurposing
ssc_target	target__TYK2	-	-	TYK2	TOFACITINIB	yes	inhibitor	DTC;ChEMBL;GuideToPharmacology	0.2226174778630513	JAK1/3 — SSc repurposing rationale
